高校,人才称号,年份,总记录数,唯一姓名数,来源分布,来源数,疑似重复姓名,冲突标记
四川大学,国家杰出青年科学基金获得者,2025,15,8,"{""Unionpub学术"": 4, ""willnanobio.com"": 3, ""科学家之家公众号"": 4, ""科学家之家公众号2025年杰青公示"": 4}",4,"[""程冲"", ""丁明明"", ""吴锦荣""]",冲突
国家测绘地理信息局,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
国家海洋局,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 2, ""科学家之家公众号2025年优青公示"": 2}",2,"[""孔凡圣"", ""王召健""]",一致
国家海洋局,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""张涛""]",一致
复旦大学,国家优秀青年科学基金获得者,2025,15,7,"{""Unionpub学术"": 6, ""willnanobio.com"": 3, ""科学家之家公众号2025年优青公示"": 6}",3,"[""李金全"", ""王轲"", ""秦伯韡"", ""尤佳"", ""任汝飞"", ""杜佳慧""]",冲突
复旦大学,国家杰出青年科学基金获得者,2025,22,11,"{""Unionpub学术"": 5, ""willnanobio.com"": 4, ""科学家之家公众号"": 8, ""科学家之家公众号2025年杰青公示"": 5}",4,"[""邱锡鹏"", ""方明亮"", ""王敬文"", ""许凯亮"", ""张波""]",冲突
复旦大学附属中山医院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
大连理工大学,国家杰出青年科学基金获得者,2025,9,5,"{""Unionpub学术"": 2, ""willnanobio.com"": 1, ""科学家之家公众号"": 4, ""科学家之家公众号2025年杰青公示"": 2}",4,"[""杨明辉"", ""谢宏彬""]",冲突
天津医科大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
天津大学,国家优秀青年科学基金获得者,2025,9,4,"{""Unionpub学术"": 3, ""willnanobio.com"": 3, ""科学家之家公众号2025年优青公示"": 3}",3,"[""徐鹏"", ""张发光"", ""李忠磊""]",一致
天津大学,国家杰出青年科学基金获得者,2025,12,7,"{""Unionpub学术"": 3, ""willnanobio.com"": 1, ""科学家之家公众号"": 4, ""科学家之家公众号2025年杰青公示"": 4}",4,"[""张晓东"", ""郑旺"", ""张雷""]",冲突
宁波大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""陈夏""]",一致
安徽农业大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""陈静""]",一致
安徽大学,国家优秀青年科学基金获得者,2025,9,4,"{""Unionpub学术"": 4, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 4}",3,"[""王晓"", ""田野"", ""王利近"", ""罗根""]",冲突
山东大学,国家优秀青年科学基金获得者,2025,8,4,"{""Unionpub学术"": 3, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 3}",3,"[""常洪雷"", ""王菊琼"", ""王兵""]",冲突
山东大学,国家杰出青年科学基金获得者,2025,11,4,"{""Unionpub学术"": 3, ""willnanobio.com"": 2, ""科学家之家公众号"": 3, ""科学家之家公众号2025年杰青公示"": 3}",4,"[""许振浩"", ""张存生"", ""王显伟""]",冲突
山东登海种业股份有限公司,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
山东第一医科大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""宋勇峰""]",一致
山西农业大学,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1}",2,"[""卢德芬""]",一致
广东工业大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
广东省智能科学与技术研究院,国家优秀青年科学基金获得者,2025,1,1,"{""Unionpub学术"": 1}",1,,一致
广东省科学院,国家优秀青年科学基金获得者,2025,2,2,"{""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,,一致
广东省科学院,国家杰出青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""赵青""]",一致
广州中医药大学,国家优秀青年科学基金获得者,2025,6,4,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 2}",3,"[""高永"", ""姚露露""]",一致
广州医科大学,国家优秀青年科学基金获得者,2025,5,3,"{""Unionpub学术"": 2, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",3,"[""李昌正"", ""刘超""]",冲突
广州医科大学,国家杰出青年科学基金获得者,2025,4,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""梁文华""]",一致
广州海洋地质调查局,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""张伟""]",一致
成都理工大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""赵宇鵷""]",一致
扬州大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""马斌""]",一致
昆明理工大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""李绍元""]",一致
武汉大学,国家优秀青年科学基金获得者,2025,15,8,"{""Unionpub学术"": 6, ""willnanobio.com"": 3, ""科学家之家公众号2025年优青公示"": 6}",3,"[""肖淞"", ""原亚南"", ""黄兴"", ""易红"", ""尹家波"", ""王巍""]",冲突
武汉大学,国家杰出青年科学基金获得者,2025,24,14,"{""Unionpub学术"": 6, ""willnanobio.com"": 8, ""科学家之家公众号"": 5, ""科学家之家公众号2025年杰青公示"": 5}",4,"[""刘郑"", ""周宇"", ""张振涛"", ""郭宇铮"", ""张楹"", ""胡冉""]",冲突
江苏大学,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""姜志锋""]",一致
江苏省农业科学院,国家杰出青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""李彬""]",一致
江西财经大学,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""张玉书""]",一致
沈阳农业大学,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
河北大学,国家优秀青年科学基金获得者,2025,4,3,"{""Unionpub学术"": 1, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 1}",3,"[""刘芳华""]",冲突
河北大学,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
河北工业大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""郑士建""]",一致
河南大学,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 2, ""科学家之家公众号2025年优青公示"": 2}",2,"[""柯小龙"", ""王博""]",一致
河南大学,国家杰出青年科学基金获得者,2025,4,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""申怀彬""]",一致
河海大学,国家杰出青年科学基金获得者,2025,6,2,"{""Unionpub学术"": 2, ""科学家之家公众号"": 2, ""科学家之家公众号2025年杰青公示"": 2}",3,"[""金君良"", ""张弛""]",一致
浙江大学,国家优秀青年科学基金获得者,2025,4,3,"{""Unionpub学术"": 1, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 1}",3,"[""叶承晋""]",冲突
浙江大学,国家杰出青年科学基金获得者,2025,36,17,"{""Unionpub学术"": 11, ""科学家之家公众号"": 15, ""科学家之家公众号2025年杰青公示"": 10}",3,"[""陆展"", ""陈喜群"", ""陈淑洁"", ""胡薇薇"", ""廖祖维"", ""孙文平"", ""赵骞"", ""张军辉"", ""叶肖伟"", ""孙修林"", ""王赛""]",冲突
浙江大学（北京）,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号2025年杰青公示"": 1}",1,,一致
浙江工业大学,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 2, ""科学家之家公众号2025年优青公示"": 2}",2,"[""史吏"", ""沈英""]",一致
浙江师范大学,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""高超""]",一致
浙江理工大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
浙江省农业科学院,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""刘娜""]",一致
海南大学,国家杰出青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""张家超""]",一致
深圳先进光源研究院,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""殷志斌""]",一致
深圳大学,国家优秀青年科学基金获得者,2025,6,5,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 2}",3,"[""张媛媛""]",一致
深圳大学,国家杰出青年科学基金获得者,2025,5,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 2, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""包小华""]",冲突
深圳市大数据研究院,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""朱光旭""]",一致
深圳理工大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""殷勤""]",一致
清华大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""王雅婷""]",一致
清华大学,国家杰出青年科学基金获得者,2025,21,20,"{""Unionpub学术"": 3, ""willnanobio.com"": 6, ""科学家之家公众号"": 9, ""科学家之家公众号2025年杰青公示"": 3}",4,"[""徐江飞""]",冲突
清华大学医学院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
清华大学附属北京清华长庚医院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
温州医科大学,国家优秀青年科学基金获得者,2025,5,5,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 1}",3,,冲突
温州医科大学,国家杰出青年科学基金获得者,2025,4,3,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""苏建忠""]",一致
湖北大学,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 1}",3,"[""陈苗苗""]",冲突
湖北工业大学,国家优秀青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
湖南大学,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 2, ""科学家之家公众号2025年优青公示"": 2}",2,"[""李甲"", ""刘益萍""]",一致
湖南大学,国家杰出青年科学基金获得者,2025,15,6,"{""Unionpub学术"": 4, ""willnanobio.com"": 3, ""科学家之家公众号"": 4, ""科学家之家公众号2025年杰青公示"": 4}",4,"[""康旭东"", ""黄晟"", ""宋国胜"", ""曾泽兵""]",冲突
澳门大学,国家优秀青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 2, ""科学家之家公众号2025年优青公示"": 2}",2,"[""唐正海"", ""钟俊文""]",一致
澳门大学,国家杰出青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""李德柜""]",一致
澳门科技大学,国家杰出青年科学基金获得者,2025,4,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""祝梦华""]",一致
燕山大学,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""仝柯""]",一致
燕山大学,国家杰出青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""聂安民""]",一致
电子科技大学,国家杰出青年科学基金获得者,2025,8,4,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号"": 2, ""科学家之家公众号2025年杰青公示"": 2}",4,"[""王政"", ""乔梁""]",一致
福州大学,国家杰出青年科学基金获得者,2025,8,3,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号"": 2, ""科学家之家公众号2025年杰青公示"": 2}",4,"[""江飞"", ""陈惠鹏""]",一致
福建农林大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""吴敏亮""]",一致
福建农林大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""陈帅飞""]",一致
苏州大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
西北农林科技大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""陈宁博""]",一致
西北农林科技大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""岳超""]",一致
西北工业大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""赵世杰""]",一致
西北工业大学,国家杰出青年科学基金获得者,2025,8,6,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号"": 2, ""科学家之家公众号2025年杰青公示"": 2}",4,"[""戴玉超""]",一致
西南交通大学,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""廖凯""]",一致
西南石油大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""肖笛""]",一致
西南石油大学,国家杰出青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""白杨""]",一致
西安交通大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""王钦阳""]",一致
西安交通大学,国家杰出青年科学基金获得者,2025,12,8,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号"": 6, ""科学家之家公众号2025年杰青公示"": 2}",4,"[""王昌河"", ""吴少伟""]",冲突
西安建筑科技大学,国家优秀青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""刘衍""]",一致
西安建筑科技大学,国家杰出青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年杰青公示"": 1}",2,"[""王登甲""]",一致
西安电子科技大学,国家优秀青年科学基金获得者,2025,6,3,"{""Unionpub学术"": 2, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 2}",3,"[""沈易"", ""唐中""]",一致
西安电子科技大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
西湖大学,国家优秀青年科学基金获得者,2025,5,4,"{""Unionpub学术"": 2, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",3,"[""张越""]",冲突
西湖大学,国家杰出青年科学基金获得者,2025,15,5,"{""Unionpub学术"": 5, ""科学家之家公众号"": 5, ""科学家之家公众号2025年杰青公示"": 5}",3,"[""刘志常"", ""李小波"", ""谢琦"", ""卢培龙"", ""陶亮""]",一致
解放军总医院,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
辽宁工业大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""李永明""]",一致
辽宁省农业科学院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
郑州大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""蔡金孟""]",一致
重庆医科大学,国家杰出青年科学基金获得者,2025,22,4,"{""Unionpub学术"": 2, ""科学家之家公众号"": 18, ""科学家之家公众号2025年杰青公示"": 2}",3,"[""顾劲扬"", ""侯波""]",冲突
重庆大学,国家优秀青年科学基金获得者,2025,6,5,"{""Unionpub学术"": 2, ""willnanobio.com"": 3, ""科学家之家公众号2025年优青公示"": 1}",3,"[""成立""]",冲突
重庆大学,国家杰出青年科学基金获得者,2025,24,6,"{""Unionpub学术"": 4, ""科学家之家公众号"": 18, ""科学家之家公众号2025年杰青公示"": 2}",3,"[""胡博"", ""郜培文"", ""郝博""]",冲突
重庆理工大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""彭凯""]",一致
长安大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""穆青翼""]",一致
长安大学,国家杰出青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""罗彦斌""]",一致
长江大学,国家杰出青年科学基金获得者,2025,3,3,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,,一致
陆军军医大学,国家杰出青年科学基金获得者,2025,13,5,"{""Unionpub学术"": 3, ""willnanobio.com"": 3, ""科学家之家公众号"": 3, ""科学家之家公众号2025年杰青公示"": 4}",4,"[""牛建钦"", ""曾文"", ""范晔""]",冲突
首都医科大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
首都医科大学附属北京天坛医院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
香港中文大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
香港中文大学(深圳),国家优秀青年科学基金获得者,2025,1,1,"{""Unionpub学术"": 1}",1,,一致
香港中文大学（深圳）,国家优秀青年科学基金获得者,2025,2,1,"{""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""高品""]",一致
香港城市大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""朱平安""]",一致
香港城市大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
香港大学,国家杰出青年科学基金获得者,2025,2,2,"{""科学家之家公众号"": 2}",1,,一致
香港理工大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""崔建波""]",一致
香港理工大学,国家杰出青年科学基金获得者,2025,7,4,"{""Unionpub学术"": 1, ""科学家之家公众号"": 4, ""科学家之家公众号2025年杰青公示"": 2}",3,"[""李步扬"", ""聂安民""]",冲突
香港科技大学,国家杰出青年科学基金获得者,2025,2,2,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1}",2,,一致
香港科技大学(广州),国家优秀青年科学基金获得者,2025,2,2,"{""Unionpub学术"": 2}",1,,一致
香港科技大学（广州）,国家优秀青年科学基金获得者,2025,3,3,"{""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",2,,冲突
